Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CABO,Cable One Inc,Communication Services,Telecom Services,USA,475780000.0,,84.43,0.0102,168566.0
CARG,CarGurus Inc,Consumer Cyclical,Auto & Truck Dealerships,USA,3210000000.0,22.81,33.66,0.0033,675092.0
CBZ,Cbiz Inc,Industrials,Specialty Business Services,USA,2450000000.0,29.61,44.97,-0.026000000000000002,927846.0
CCTG,CCSC Technology International Holdings Ltd,Industrials,Electrical Equipment & Parts,Hong Kong,2280000.0,,0.1,-0.11789999999999999,3212149.0
CHOW,ChowChow Cloud International Holdings Ltd,Technology,Software - Infrastructure,Hong Kong,23870000.0,10.09,0.68,-0.0029,194024.0
CISS,C3is Inc,Industrials,Marine Shipping,Greece,630000.0,,0.14,0.0837,4078949.0
CLBT,Cellebrite DI Ltd,Technology,Software - Infrastructure,Israel,3770000000.0,51.3,15.74,-0.0391,3768946.0
CLDI,Calidi Biotherapeutics Inc,Healthcare,Biotechnology,USA,7170000.0,,1.0,-0.009899999999999999,51515.0
CLOD,Themes Cloud Computing ETF,Financial,Exchange Traded Fund,USA,,,30.25,0.0013,542.0
CLOU,Global X Cloud Computing ETF,Financial,Exchange Traded Fund,USA,,,20.82,0.0058,311478.0
CLVT,Clarivate Plc,Technology,Information Technology Services,United Kingdom,1860000000.0,,2.81,-0.0377,6699581.0
CMRC,Commerce.com Inc,Technology,Software - Application,USA,271420000.0,,3.34,-0.0147,1095925.0
CNEY,CN Energy Group Inc,Basic Materials,Specialty Chemicals,China,1510000.0,,0.48,-0.0533,2013724.0
COE,51 Talk Online Education Group ADR,Consumer Defensive,Education & Training Services,Singapore,103700000.0,,25.11,-0.026699999999999998,8844.0
COIO,Leverage Shares 2x Capped Accelerated COIN Monthly ETF,Financial,Exchange Traded Fund,USA,,,8.97,-0.003,89.0
CORT,Corcept Therapeutics Inc,Healthcare,Biotechnology,USA,3820000000.0,41.49,36.31,0.028900000000000002,1411284.0
COUR,Coursera Inc,Consumer Defensive,Education & Training Services,USA,1070000000.0000001,,6.35,0.0,3089188.0
COYY,GraniteShares YieldBOOST COIN ETF,Financial,Exchange Traded Fund,USA,,,7.03,-0.0042,336298.0
CPNG,Coupang Inc,Consumer Cyclical,Internet Retail,USA,36970000000.0,95.79,20.24,-0.011699999999999999,18772974.0
CRCT,Cricut Inc,Technology,Computer Hardware,USA,902030000.0,11.31,4.26,0.0070999999999999995,438668.0
CRM,Salesforce Inc,Technology,Software - Application,USA,207620000000.0,29.56,221.58,0.0069,12593145.0
CRMG,Leverage Shares 2X Long CRM Daily ETF,Financial,Exchange Traded Fund,USA,,,9.41,0.0129,351968.0
CXAI,CXApp Inc,Technology,Software - Application,USA,8250000.0,,0.26,-0.058899999999999994,1303704.0
CXM,Sprinklr Inc,Technology,Software - Application,USA,1640000000.0,15.74,6.66,0.0076,1683425.0
DAIC,CID Holdco Inc,Technology,Information Technology Services,USA,11530000.0,,0.42,-0.0233,178009.0
DAT,ProShares Big Data Refiners ETF,Financial,Exchange Traded Fund,USA,,,41.79,0.0008,1368.0
DCBO,Docebo Inc,Technology,Software - Application,Canada,524900000.0,24.63,18.27,-0.038900000000000004,90569.0
DCX,Digital Currency X Technology Inc,Consumer Cyclical,Auto Manufacturers,Cayman Islands,1570000.0,,0.36,-0.025099999999999997,362453.0
DGNX,Diginex Ltd,Industrials,Consulting Services,United Kingdom,290810000.0,,1.44,-0.16760000000000003,6039095.0
DOCU,DocuSign Inc,Technology,Software - Application,USA,11220000000.0,39.21,56.03,0.0038,4138955.0
DOMO,Domo Inc,Technology,Software - Application,USA,253300000.0,,6.06,0.0669,1834783.0
DQ,Daqo New Energy Corp ADR,Technology,Solar,China,1640000000.0,,24.54,-0.005699999999999999,602770.0
DRCT,Direct Digital Holdings Inc,Communication Services,Advertising Agencies,USA,2200000.0,,1.78,-0.0326,844616.0
DSWL,"Deswell Industries, Inc",Technology,Electronic Components,China,48760000.0,3.91,3.06,-0.1207,54111.0
DTST,Data Storage Corp,Technology,Information Technology Services,USA,31040000.0,,4.14,-0.0461,25835.0
DULL,MicroSectors Gold -3X Inverse Leveraged ETNs,Financial,Exchange Traded Fund,USA,,,1.19,-0.0325,653537.0
DUNK,Dana Unconstrained Equity ETF,Financial,Exchange Traded Fund,USA,,,23.2,0.0051,10426.0
DUOG,Leverage Shares 2X Long DUOL Daily ETF,Financial,Exchange Traded Fund,USA,,,7.93,-0.0241,139599.0
DUOL,Duolingo Inc,Technology,Software - Application,USA,6770000000.0,18.67,146.81,-0.011899999999999999,2645776.0
DUST,Direxion Daily Gold Miners Index Bear -2X Shares,Financial,Exchange Traded Fund,USA,,,5.25,0.0274,91454274.0
EDHL,Everbright Digital Holding Ltd,Communication Services,Advertising Agencies,USA,,,0.24,-0.1374,253876.0
ELAB,PMGC Holdings Inc,Healthcare,Biotechnology,USA,4010000.0,,3.38,0.0432,136921.0
EMPB,Efficient Market Portfolio Plus ETF,Financial,Exchange Traded Fund,USA,,,27.9,-0.0013,1728.0
EOLS,Evolus Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,317620000.0,,4.9,-0.0316,857826.0
ESGL,ESGL Holdings Ltd,Industrials,Waste Management,Singapore,160570000.0,,3.84,-0.0327,8585.0
ETOR,Etoro Group Ltd,Financial,Capital Markets,Israel,2560000000.0,13.0,30.56,-0.008100000000000001,839331.0
